部品コード,品名,工順,工程No,工程名,外注先NO,外注先名
29X206-1011,N76 LCUｹｰｽA R 88120-RF0100,3,1,鋳造,99999,秋葉
29X206-1021,N76 LCUｹｰｽB R 88130-RF0100,1,23,検査,99999,秋葉
29X206-1021,N76 LCUｹｰｽB R 88130-RF0100,2,8,仕上加工,56003,田島
29X206-1021,N76 LCUｹｰｽB R 88130-RF0100,3,1,鋳造,99999,秋葉
29X207-0041,N76 S/H L-L,1,23,検査,99999,秋葉
29X207-0041,N76 S/H L-L,2,17,メッキ,54004,協和
29X207-0041,N76 S/H L-L,3,1,鋳造,99999,秋葉
29X207-1011,N76 LCUｹｰｽA L 88120-RF5000,1,23,検査,99999,秋葉
29X207-1011,N76 LCUｹｰｽA L 88120-RF5000,2,8,仕上加工,56003,田島
29X207-1011,N76 LCUｹｰｽA L 88120-RF5000,3,1,鋳造,99999,秋葉
29X207-1021,N76 LCUｹｰｽB L 88130-RF5000,1,23,検査,99999,秋葉
29X207-1021,N76 LCUｹｰｽB L 88130-RF5000,2,8,仕上加工,56003,田島
29X207-1021,N76 LCUｹｰｽB L 88130-RF5000,3,1,鋳造,99999,秋葉
29X406-0041,A N76 S/H R-R,1,1,鋳造,51209,三協
29X406-3010,N76 ｱﾝﾌﾟｹｰｽA RH,1,23,検査,99999,秋葉
29X406-3010,N76 ｱﾝﾌﾟｹｰｽA RH,2,8,仕上加工,56005,ﾏﾂｲ
29X406-3010,N76 ｱﾝﾌﾟｹｰｽA RH,3,1,鋳造,99999,秋葉
29X406-3020,N76 ｱﾝﾌﾟｹｰｽB RH,1,23,検査,99999,秋葉
29X406-3020,N76 ｱﾝﾌﾟｹｰｽB RH,2,8,仕上加工,56005,ﾏﾂｲ
29X406-3020,N76 ｱﾝﾌﾟｹｰｽB RH,3,1,鋳造,99999,秋葉
29X407-0041,A N76 S/H R-L,1,1,鋳造,51209,三協
29X407-3010,N76 ｱﾝﾌﾟｹｰｽA LH,1,23,検査,99999,秋葉
29X407-3010,N76 ｱﾝﾌﾟｹｰｽA LH,2,8,仕上加工,56005,ﾏﾂｲ
29X407-3010,N76 ｱﾝﾌﾟｹｰｽA LH,3,1,鋳造,99999,秋葉
29X407-3020,N76 ｱﾝﾌﾟｹｰｽB LH,1,23,検査,99999,秋葉
29X407-3020,N76 ｱﾝﾌﾟｹｰｽB LH,2,8,仕上加工,56005,ﾏﾂｲ
29X407-3020,N76 ｱﾝﾌﾟｹｰｽB LH,3,1,鋳造,99999,秋葉
29X606-0041,N76 S/H R-R,1,23,検査,99999,秋葉
29X606-0041,N76 S/H R-R,2,17,メッキ,54004,協和
29X606-0041,N76 S/H R-R,3,9,機械加工,56016,佐藤機工
29X606-0041,N76 S/H R-R,4,1,鋳造,99999,秋葉
29X607-0041,N76 S/H R-L,1,23,検査,99999,秋葉
29X607-0041,N76 S/H R-L,2,17,メッキ,54004,協和
29X607-0041,N76 S/H R-L,3,9,機械加工,56016,佐藤機工
29X607-0041,N76 S/H R-L,4,1,鋳造,99999,秋葉
2DU030-0020,565 P DKﾁﾀﾆｳﾑ,1,15,塗装,55001,馬場
2DU030-L020,565 P IMI,1,25,出荷,0,#N/A
2FV012-2010,583 ﾚﾊﾞｰ,1,1,鋳造,51209,三協
2FV111-0010,587 ﾚﾊﾞｰ L-R,1,8,仕上加工,51209,三協
2FV111-0010,587 ﾚﾊﾞｰ L-R,2,1,鋳造,99999,秋葉
2FV112-0010,587 ﾚﾊﾞｰ L-L,1,8,仕上加工,51209,三協
2FV112-0010,587 ﾚﾊﾞｰ L-L,2,1,鋳造,99999,秋葉
2GV021-0010,G-BODY B RH,1,23,検査,99999,秋葉
2GV021-0010,G-BODY B RH,2,15,塗装,55001,馬場
2GV021-0010,G-BODY B RH,3,12,研磨,56005,ﾏﾂｲ
2GV021-0010,G-BODY B RH,4,8,仕上加工,56005,ﾏﾂｲ
2GV021-0010,G-BODY B RH,5,1,鋳造,99999,秋葉
2GV022-0010,G-BODY B LH,1,23,検査,99999,秋葉
2GV022-0010,G-BODY B LH,2,15,塗装,55001,馬場
2GV022-0010,G-BODY B LH,3,12,研磨,56005,ﾏﾂｲ
2GV022-0010,G-BODY B LH,4,8,仕上加工,56005,ﾏﾂｲ
2GV022-0010,G-BODY B LH,5,1,鋳造,99999,秋葉
2GV091-0040,N61 S/H L-R,1,23,検査,56016,佐藤機工
2GV091-0040,N61 S/H L-R,2,17,メッキ,54004,協和
2GV091-0040,N61 S/H L-R,3,8,仕上加工,56016,佐藤機工
2GV091-0040,N61 S/H L-R,4,1,鋳造,99999,秋葉
2GV091-L040,N61 S/H L-R IMI,1,15,塗装,0,#N/A
2GV092-0040,N61 S/H L-L,1,23,検査,56016,佐藤機工
2GV092-0040,N61 S/H L-L,2,17,メッキ,54004,協和
2GV092-0040,N61 S/H L-L,3,8,仕上加工,56016,佐藤機工
2GV092-0040,N61 S/H L-L,4,1,鋳造,99999,秋葉
2GV092-L040,N61 S/H L-L IMI,1,15,塗装,0,#N/A
2GV261-0030,583 BKT L-R,1,23,検査,0,#N/A
2GV261-0030,583 BKT L-R,2,14,電着,54005,城北
2GV261-0030,583 BKT L-R,3,8,仕上加工,0,#N/A
2GV261-0030,583 BKT L-R,4,1,鋳造,99999,秋葉
2GV261-L030,583 BKT L-R IMI     XX,1,15,塗装,0,#N/A
2GV262-0030,583 BKT L-L,1,23,検査,0,#N/A
2GV262-0030,583 BKT L-L,2,14,電着,54005,城北
2GV262-0030,583 BKT L-L,3,8,仕上加工,0,#N/A
2GV262-0030,583 BKT L-L,4,1,鋳造,99999,秋葉
2GV262-L030,583 BKT L-L IMI     XX,1,15,塗装,0,#N/A
2S00018,ｺｲﾝﾄｳﾆｭｳｸﾞﾁ,1,17,メッキ,54001,協和　
2S00018,ｺｲﾝﾄｳﾆｭｳｸﾞﾁ,2,1,鋳造,51209,三協
311-3F-2406-1,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ.ｼｮｳ 1,1,8,仕上加工,56032,ｲｰｸﾞﾙ協
311-3F-2406-1,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ.ｼｮｳ 1,2,9,機械加工,56016,佐藤機工
311-3F-2406-1,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ.ｼｮｳ 1,3,1,鋳造,99999,秋葉
311-3F-2406-2,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ.ｼｮｳ 2,1,8,仕上加工,56032,ｲｰｸﾞﾙ協
311-3F-2406-2,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ.ｼｮｳ 2,2,9,機械加工,56016,佐藤機工
311-3F-2406-2,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ.ｼｮｳ 2,3,1,鋳造,99999,秋葉
311-3F-24207,ｶﾄﾞｳｺﾝﾀﾄﾘｶﾞﾈ ﾀﾞｲ,1,12,研磨,56058,Kテクノ
311-3F-24207,ｶﾄﾞｳｺﾝﾀﾄﾘｶﾞﾈ ﾀﾞｲ,2,8,仕上加工,56027,美才治
311-3F-24207,ｶﾄﾞｳｺﾝﾀﾄﾘｶﾞﾈ ﾀﾞｲ,3,1,鋳造,99999,秋葉
311-3TA72509,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ ｼｮｳ 4,1,8,仕上加工,56032,ｲｰｸﾞﾙ協
311-3TA72509,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ ｼｮｳ 4,2,9,機械加工,56016,佐藤機工
311-3TA72509,ｺﾃｲｺﾝﾀﾄﾘｶﾞﾈ ｼｮｳ 4,3,1,鋳造,99999,秋葉
3153-7010,ﾘｱｹｰｼﾝｸﾞ,1,1,鋳造,99999,秋葉
31695-31X47,ﾋﾟｽﾄﾝ,1,1,鋳造,99999,秋葉
31695-31X49,ﾋﾟｽﾄﾝ,1,8,仕上加工,56005,ﾏﾂｲ
31695-31X49,ﾋﾟｽﾄﾝ,2,1,鋳造,99999,秋葉
31695-31X50,ﾋﾟｽﾄﾝ,1,1,鋳造,99999,秋葉
31707KA221,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｱｯﾊﾟｰ(P),1,8,仕上加工,56008,大沢
31707KA221,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｱｯﾊﾟｰ(P),2,1,鋳造,99999,秋葉
31707KA-242,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｱｯﾊﾟｰ(M),1,8,仕上加工,56008,大沢
31707KA-242,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｱｯﾊﾟｰ(M),2,1,鋳造,99999,秋葉
31707KA260,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｱｯﾊﾟｰ(MCI),1,23,検査,99999,秋葉
31707KA260,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｱｯﾊﾟｰ(MCI),2,8,仕上加工,56008,大沢
31707KA260,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｱｯﾊﾟｰ(MCI),3,1,鋳造,99999,秋葉
317111XC0A,ALO(1XC)BODY-CONT VALVEUPR,1,8,仕上加工,56008,大沢
317111XC0A,ALO(1XC)BODY-CONT VALVEUPR,2,1,鋳造,99999,秋葉
317111XC0A-J,ALO UPR ｺｸﾅｲ,1,25,出荷,0,#N/A
317111XE0A,AKO(1XE)BODY-CONT VALVEUPR,1,8,仕上加工,56008,大沢
317111XE0A,AKO(1XE)BODY-CONT VALVEUPR,2,1,鋳造,99999,秋葉
3171128X0F,"BODY-CONT VALVE,UPR(ARD)XX",1,1,鋳造,99999,秋葉
3171128X2F,"BODY-CONT VALVE,UPR(ARZ)XX",1,1,鋳造,99999,秋葉
317113JX0A,BODY-CONT VALVE UPR  XX,1,1,鋳造,99999,秋葉
317113JX0B,APE BODY-CONT VALVE UPR XX,1,1,鋳造,99999,秋葉
31711X160A,AZO BODY-CONT VALVE UPR XX,1,1,鋳造,99999,秋葉
317131XC0A,ALO(1XC)BODYCONT VALVE LWR,1,8,仕上加工,56008,大沢
317131XC0A,ALO(1XC)BODYCONT VALVE LWR,2,1,鋳造,99999,秋葉
317131XC0A-J,ALO LWR ｺｸﾅｲ,1,25,出荷,0,#N/A
317131XE0A,AKO(1XE)BODY-CONT VALVELWR,1,8,仕上加工,56008,大沢
317131XE0A,AKO(1XE)BODY-CONT VALVELWR,2,1,鋳造,99999,秋葉
3171328X0F,"BODY-CONT VALVE,LWR(ARD)XX",1,1,鋳造,99999,秋葉
3171328X2F,"BODY-CONT VALVE,LWR(ARZ)XX",1,1,鋳造,99999,秋葉
317133JX0A,BODY-CONT VALVE LWR  XX,1,1,鋳造,99999,秋葉
317133JX0B,APE BODY-CONT VALVE LWR XX,1,1,鋳造,99999,秋葉
31713KA061,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(P),1,8,仕上加工,56008,大沢
31713KA061,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(P),2,1,鋳造,99999,秋葉
31713KA-070,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(M),1,8,仕上加工,56008,大沢
31713KA-070,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(M),2,1,鋳造,99999,秋葉
31713KA090,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(MCI),1,23,検査,99999,秋葉
31713KA090,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(MCI),2,8,仕上加工,56008,大沢
31713KA090,ﾎﾞﾃﾞｨｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(MCI),3,1,鋳造,99999,秋葉
31713KA110,ﾎﾞﾃﾞｨｰｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(MCI),1,23,検査,99999,秋葉
31713KA110,ﾎﾞﾃﾞｨｰｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(MCI),2,8,仕上加工,56008,大沢
31713KA110,ﾎﾞﾃﾞｨｰｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞﾛｱｰ(MCI),3,1,鋳造,99999,秋葉
31713X160A,AZO BODY-CONT VALVE LWR XX,1,1,鋳造,99999,秋葉
31714ARE5000,BODY-CONT VALVE SUB  XX,1,1,鋳造,99999,秋葉
31714-LW142,ﾎﾞﾃﾞｨｰｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｶﾊﾞｰ,1,8,仕上加工,56008,大沢
31714-LW142,ﾎﾞﾃﾞｨｰｺﾝﾄﾛｰﾙﾊﾞﾙﾌﾞｶﾊﾞｰ,2,1,鋳造,99999,秋葉
31745-27-60,60 ｽﾘ-ﾌﾞﾌﾟﾗｸﾞ,1,9,機械加工,0,#N/A
31745-27-60,60 ｽﾘ-ﾌﾞﾌﾟﾗｸﾞ,2,8,仕上加工,0,#N/A
31745-27-60,60 ｽﾘ-ﾌﾞﾌﾟﾗｸﾞ,3,1,鋳造,99999,秋葉
317491XJ0A,MGO BODY-MAN VALVE,1,23,検査,99999,秋葉
317491XJ0A,MGO BODY-MAN VALVE,2,1,鋳造,99999,秋葉
317491XJ0A-VN,MGO BODY-MAN VALVE XX,1,1,鋳造,99999,秋葉
3174990X00,ﾎﾞﾃﾞｨｰﾏﾝﾊﾞﾙﾌﾞ,1,8,仕上加工,56001,ﾏﾙｺｳ
3174990X00,ﾎﾞﾃﾞｨｰﾏﾝﾊﾞﾙﾌﾞ,2,1,鋳造,99999,秋葉
3174990X00-VN,IK BODY-MAN VALVE  XX,1,1,鋳造,99999,秋葉
3174990X00-W00V,BODY-MAN VALVE ﾕｼｭﾂﾑｹ,1,25,出荷,0,#N/A
31761X230A,"COVER CONT VALVE,(X230A)XX",1,1,鋳造,99999,秋葉
31992AA000,CFT BODY-MAN VALVE XX,1,1,鋳造,99999,秋葉
32234AA000A0,ﾎﾙﾀﾞｰ,1,8,仕上加工,56027,美才治
32234AA000A0,ﾎﾙﾀﾞｰ,2,1,鋳造,99999,秋葉
32234AA010A0,ﾎﾙﾀﾞ,1,8,仕上加工,56027,美才治
32234AA010A0,ﾎﾙﾀﾞ,2,1,鋳造,99999,秋葉
328070-0021,ﾊｲｻﾞﾗﾉﾌﾞ,1,17,メッキ,0,#N/A
328070-0021,ﾊｲｻﾞﾗﾉﾌﾞ,2,8,仕上加工,0,#N/A
328070-0021,ﾊｲｻﾞﾗﾉﾌﾞ,3,1,鋳造,99999,秋葉
33752-343-00001,"COLLAR,,SJ6",1,25,出荷,0,#N/A
33752-343-00100,"COLLAR,, SJ6",1,23,検査,99999,秋葉
33752-343-00100,"COLLAR,, SJ6",2,1,鋳造,51209,三協
33841-361-12001,"FRAME,,841 ﾕｼｭﾂ",1,25,出荷,0,#N/A
33841-361-23002,"FRAME,,841 MINA",1,25,出荷,0,#N/A
33841-361-23003,"FRAME,,841 JMP",1,25,出荷,0,#N/A
33841-361-24100,"FRAME,, 841",1,23,検査,99999,秋葉
33841-361-24100,"FRAME,, 841",2,9,機械加工,56003,田島
33841-361-24100,"FRAME,, 841",3,1,鋳造,99999,秋葉
33843-361-12001,"FRAME,,843",1,25,出荷,0,#N/A
33843-361-12002,"FRAME,,843",1,25,出荷,0,#N/A
33843-361-23000,"FRAME,, 843",1,23,検査,99999,秋葉
33843-361-23000,"FRAME,, 843",2,9,機械加工,56003,田島
33843-361-23000,"FRAME,, 843",3,1,鋳造,99999,秋葉
33845-361-22100,"FRAME,,845",1,23,検査,99999,秋葉
33845-361-22100,"FRAME,,845",2,8,仕上加工,56003,田島
33845-361-22100,"FRAME,,845",3,1,鋳造,99999,秋葉
33847-361-13100,"FRAME,,847",1,23,検査,99999,秋葉
33847-361-13100,"FRAME,,847",2,9,機械加工,56999,秋葉
33847-361-13100,"FRAME,,847",3,8,仕上加工,56005,ﾏﾂｲ
33847-361-13100,"FRAME,,847",4,1,鋳造,99999,秋葉
33852-361-03005,"FRAME,,852 ﾕｼｭﾂ",1,25,出荷,0,#N/A
33852-361-03300,"FRAME,,852",1,23,検査,99999,秋葉
33852-361-03300,"FRAME,,852",2,9,機械加工,56999,秋葉
33852-361-03300,"FRAME,,852",3,8,仕上加工,56005,ﾏﾂｲ
33852-361-03300,"FRAME,,852",4,1,鋳造,99999,秋葉
33854-361-11000,"FRAME,,854",1,23,検査,99999,秋葉
33854-361-11000,"FRAME,,854",2,9,機械加工,56003,田島
33854-361-11000,"FRAME,,854",3,1,鋳造,99999,秋葉
33854-361-11001,"FRAME,,854 MINA",1,25,出荷,0,#N/A
33854-361-12000,"FRAME,,854 JMP",1,25,出荷,0,#N/A
33854-361-12007,"FRAME,,854 MASE",1,25,出荷,0,#N/A
33857-361-04100,"WM09C017A,FRAME Q",1,23,検査,99999,秋葉
33857-361-04100,"WM09C017A,FRAME Q",2,9,機械加工,56999,秋葉
33857-361-04100,"WM09C017A,FRAME Q",3,8,仕上加工,56005,ﾏﾂｲ
33857-361-04100,"WM09C017A,FRAME Q",4,1,鋳造,99999,秋葉
33859-361-02100,"FRAME,, 019",1,23,検査,99999,秋葉
33859-361-02100,"FRAME,, 019",2,9,機械加工,56999,秋葉
33859-361-02100,"FRAME,, 019",3,8,仕上加工,56005,ﾏﾂｲ
33859-361-02100,"FRAME,, 019",4,1,鋳造,99999,秋葉
33881-361-15002,"FRAME,,881 MASE",1,25,出荷,0,#N/A
33881-361-16200,"FRAME,,881",1,23,検査,99999,秋葉
33881-361-16200,"FRAME,,881",2,9,機械加工,56999,秋葉
33881-361-16200,"FRAME,,881",3,8,仕上加工,56005,ﾏﾂｲ
33881-361-16200,"FRAME,,881",4,1,鋳造,99999,秋葉
33901-360-04000,"FRAME,, SAO(R)",1,23,検査,99999,秋葉
33901-360-04000,"FRAME,, SAO(R)",2,8,仕上加工,56005,ﾏﾂｲ
33901-360-04000,"FRAME,, SAO(R)",3,1,鋳造,99999,秋葉
33903-360-04000,"FRAME,, 680",1,23,検査,99999,秋葉
33903-360-04000,"FRAME,, 680",2,8,仕上加工,56003,田島
33903-360-04000,"FRAME,, 680",3,1,鋳造,99999,秋葉
33904-360-16000,"FRAME,, 76T 2D 00R",1,23,検査,99999,秋葉
33904-360-16000,"FRAME,, 76T 2D 00R",2,8,仕上加工,56003,田島
33904-360-16000,"FRAME,, 76T 2D 00R",3,1,鋳造,99999,秋葉
33905-361-02100,"FRAME,, 76T(VAN)",1,23,検査,99999,秋葉
33905-361-02100,"FRAME,, 76T(VAN)",2,8,仕上加工,56003,田島
33905-361-02100,"FRAME,, 76T(VAN)",3,1,鋳造,99999,秋葉
33906-360-05100,"FRAME,, 3804",1,23,検査,99999,秋葉
33906-360-05100,"FRAME,, 3804",2,8,仕上加工,56003,田島
33906-360-05100,"FRAME,, 3804",3,1,鋳造,99999,秋葉
33912-401-00000,ｽﾘｰﾌﾞ(R) YD-23,1,23,検査,0,#N/A
33912-401-00000,ｽﾘｰﾌﾞ(R) YD-23,2,9,機械加工,0,#N/A
33912-401-00000,ｽﾘｰﾌﾞ(R) YD-23,3,8,仕上加工,0,#N/A
33912-401-00000,ｽﾘｰﾌﾞ(R) YD-23,4,1,鋳造,99999,秋葉
33913-401-01000,ｽﾘｰﾌﾞ(L) YD-23,1,23,検査,0,#N/A
33913-401-01000,ｽﾘｰﾌﾞ(L) YD-23,2,9,機械加工,0,#N/A
33913-401-01000,ｽﾘｰﾌﾞ(L) YD-23,3,8,仕上加工,0,#N/A
33913-401-01000,ｽﾘｰﾌﾞ(L) YD-23,4,1,鋳造,99999,秋葉
33914-361-02500,"FRAME,, SA5 RR",1,23,検査,0,#N/A
33914-361-02500,"FRAME,, SA5 RR",2,9,機械加工,0,#N/A
33914-361-02500,"FRAME,, SA5 RR",3,8,仕上加工,0,#N/A
33914-361-02500,"FRAME,, SA5 RR",4,1,鋳造,99999,秋葉
33921-361-04000,ﾌﾚｰﾑ SAOL RR,1,23,検査,99999,秋葉
33921-361-04000,ﾌﾚｰﾑ SAOL RR,2,8,仕上加工,56005,ﾏﾂｲ
33921-361-04000,ﾌﾚｰﾑ SAOL RR,3,1,鋳造,99999,秋葉
33923-361-03500,"FRAME,, 87C RR",1,23,検査,0,#N/A
33923-361-03500,"FRAME,, 87C RR",2,9,機械加工,0,#N/A
33923-361-03500,"FRAME,, 87C RR",3,8,仕上加工,0,#N/A
33923-361-03500,"FRAME,, 87C RR",4,1,鋳造,99999,秋葉
33929-361-00,ﾌﾚ-ﾑ 58J SED,1,23,検査,0,#N/A
33929-361-00,ﾌﾚ-ﾑ 58J SED,2,9,機械加工,0,#N/A
33929-361-00,ﾌﾚ-ﾑ 58J SED,3,8,仕上加工,0,#N/A
33929-361-00,ﾌﾚ-ﾑ 58J SED,4,1,鋳造,99999,秋葉
33931-361-21100,"FRAME,, SB2 RR",1,23,検査,99999,秋葉
33931-361-21100,"FRAME,, SB2 RR",2,8,仕上加工,56003,田島
33931-361-21100,"FRAME,, SB2 RR",3,1,鋳造,99999,秋葉
33940-360-02000,"FRAME,, 62F(VAN)",1,23,検査,99999,秋葉
33940-360-02000,"FRAME,, 62F(VAN)",2,8,仕上加工,56003,田島
33940-360-02000,"FRAME,, 62F(VAN)",3,1,鋳造,99999,秋葉
33952-360-01000,ﾌﾚｰﾑ YD-23,1,23,検査,99999,秋葉
33952-360-01000,ﾌﾚｰﾑ YD-23,2,8,仕上加工,56005,ﾏﾂｲ
33952-360-01000,ﾌﾚｰﾑ YD-23,3,1,鋳造,99999,秋葉
33953-361-01100,ﾌﾚｰﾑ 485,1,23,検査,0,#N/A
33953-361-01100,ﾌﾚｰﾑ 485,2,9,機械加工,0,#N/A
33953-361-01100,ﾌﾚｰﾑ 485,3,1,鋳造,99999,秋葉
33956-361-03000,ﾌﾚ-ﾑ 607,1,23,検査,99999,秋葉
33956-361-03000,ﾌﾚ-ﾑ 607,2,8,仕上加工,56003,田島
33956-361-03000,ﾌﾚ-ﾑ 607,3,1,鋳造,99999,秋葉
33957-360-XX,ﾌﾚｰﾑ R-1,1,23,検査,0,#N/A
33957-360-XX,ﾌﾚｰﾑ R-1,2,9,機械加工,0,#N/A
33957-360-XX,ﾌﾚｰﾑ R-1,3,8,仕上加工,0,#N/A
33957-360-XX,ﾌﾚｰﾑ R-1,4,1,鋳造,99999,秋葉
33957-361-00200,"FRAME,, R",1,23,検査,0,#N/A
33957-361-00200,"FRAME,, R",2,9,機械加工,0,#N/A
33957-361-00200,"FRAME,, R",3,8,仕上加工,56001,ﾏﾙｺｳ
33957-361-00200,"FRAME,, R",4,1,鋳造,99999,秋葉
33958-360-XX,ﾌﾚｰﾑ L-1,1,23,検査,0,#N/A
33958-360-XX,ﾌﾚｰﾑ L-1,2,9,機械加工,0,#N/A
33958-360-XX,ﾌﾚｰﾑ L-1,3,8,仕上加工,0,#N/A
33958-360-XX,ﾌﾚｰﾑ L-1,4,1,鋳造,99999,秋葉
33958-361-00200,"FRAME,, L",1,23,検査,0,#N/A
33958-361-00200,"FRAME,, L",2,9,機械加工,0,#N/A
33958-361-00200,"FRAME,, L",3,8,仕上加工,56001,ﾏﾙｺｳ
33958-361-00200,"FRAME,, L",4,1,鋳造,99999,秋葉
33961-361-02100,"FRAME,, 160 RR",1,23,検査,99999,秋葉
33961-361-02100,"FRAME,, 160 RR",2,8,仕上加工,56001,ﾏﾙｺｳ
33961-361-02100,"FRAME,, 160 RR",3,1,鋳造,99999,秋葉
33965-361-13000,"FRAME,, SBO B RR",1,23,検査,99999,秋葉
33965-361-13000,"FRAME,, SBO B RR",2,1,鋳造,99999,秋葉
33966-361-21500,"FRAME,, 825 RR",1,23,検査,99999,秋葉
33966-361-21500,"FRAME,, 825 RR",2,9,機械加工,56029,ﾑｻｼ　
33966-361-21500,"FRAME,, 825 RR",3,8,仕上加工,56027,美才治
33966-361-21500,"FRAME,, 825 RR",4,1,鋳造,99999,秋葉
33967-361-11100,"FRAME,, 830 H/T",1,23,検査,99999,秋葉
33967-361-11100,"FRAME,, 830 H/T",2,1,鋳造,99999,秋葉
33968-361-00400,"FRAME,, SB3(B)",1,23,検査,99999,秋葉
33968-361-00400,"FRAME,, SB3(B)",2,8,仕上加工,0,#N/A
33968-361-00400,"FRAME,, SB3(B)",3,1,鋳造,99999,秋葉
33973-361-00000,ﾌﾚｰﾑ 857 RR,1,23,検査,0,#N/A
33973-361-00000,ﾌﾚｰﾑ 857 RR,2,9,機械加工,50209,雨宮
33973-361-00000,ﾌﾚｰﾑ 857 RR,3,8,仕上加工,56005,ﾏﾂｲ
33974-361-03000,"FRAME,, 974",1,23,検査,99999,秋葉
33974-361-03000,"FRAME,, 974",2,8,仕上加工,56043,ﾏﾏﾀﾞ
33974-361-03000,"FRAME,, 974",3,1,鋳造,99999,秋葉
33975-361-01000,ﾌﾚ-ﾑ SF1(B) RR,1,23,検査,99999,秋葉
33975-361-01000,ﾌﾚ-ﾑ SF1(B) RR,2,8,仕上加工,56027,美才治
33975-361-01000,ﾌﾚ-ﾑ SF1(B) RR,3,1,鋳造,99999,秋葉
33976-361-00000,"FRAME,, SBO(A)",1,23,検査,99999,秋葉
33976-361-00000,"FRAME,, SBO(A)",2,1,鋳造,99999,秋葉
33977-360-00000,ﾌﾚ-ﾑ SB3(A),1,23,検査,99999,秋葉
33977-360-00000,ﾌﾚ-ﾑ SB3(A),2,8,仕上加工,0,#N/A
33977-360-00000,ﾌﾚ-ﾑ SB3(A),3,1,鋳造,99999,秋葉
33979-360-00000,ﾌﾚ-ﾑ SE1(A) RR,1,23,検査,99999,秋葉
33979-360-00000,ﾌﾚ-ﾑ SE1(A) RR,2,8,仕上加工,56005,ﾏﾂｲ
33979-360-00000,ﾌﾚ-ﾑ SE1(A) RR,3,1,鋳造,99999,秋葉
33980-360-00000,ﾌﾚ-ﾑ SE1(B),1,23,検査,99999,秋葉
33980-360-00000,ﾌﾚ-ﾑ SE1(B),2,8,仕上加工,56005,ﾏﾂｲ
33980-360-00000,ﾌﾚ-ﾑ SE1(B),3,1,鋳造,99999,秋葉
33988-361-01000,"FRAME,, SF1(A) RR",1,23,検査,99999,秋葉
33988-361-01000,"FRAME,, SF1(A) RR",2,8,仕上加工,56027,美才治
33988-361-01000,"FRAME,, SF1(A) RR",3,1,鋳造,99999,秋葉
33989-361-01000,ﾌﾚ-ﾑ SE3 RR,1,23,検査,99999,秋葉
33989-361-01000,ﾌﾚ-ﾑ SE3 RR,2,8,仕上加工,56005,ﾏﾂｲ
33989-361-01000,ﾌﾚ-ﾑ SE3 RR,3,1,鋳造,99999,秋葉
33990-361-00000,ﾌﾚ-ﾑ E30A,1,23,検査,99999,秋葉
33990-361-00000,ﾌﾚ-ﾑ E30A,2,8,仕上加工,56005,ﾏﾂｲ
33990-361-00000,ﾌﾚ-ﾑ E30A,3,1,鋳造,99999,秋葉
33991-361-11100,"FRAME,, 757",1,23,検査,0,#N/A
33991-361-11100,"FRAME,, 757",2,9,機械加工,56003,田島
33991-361-11100,"FRAME,, 757",3,8,仕上加工,56005,ﾏﾂｲ
33991-361-11100,"FRAME,, 757",4,1,鋳造,99999,秋葉
33994-361-11000,ﾌﾚ-ﾑ 740,1,23,検査,0,#N/A
33994-361-11000,ﾌﾚ-ﾑ 740,2,9,機械加工,56003,田島
33994-361-11000,ﾌﾚ-ﾑ 740,3,8,仕上加工,56005,ﾏﾂｲ
