図番,品名,品名2,備考
23779,Ｃ－９８５－１　パワーグリーン　４２０ｍｌ,#R200-4-3.5 ﾛｰﾀｰ,
23977,支給　Ｃ－１７８－ＴＶＣ　鍵違い,#500-4 ﾛｰﾀｰ,
24107,支給　Ｃ－３０－ＣＳ－７　ＥＰ－ＵＬ,ｼｬｯﾀｰ付#500-4-2ﾛｰﾀｰ,
24149,Ｃ－３０－ＮＧ－７９－Ａ－２－ＵＬ　グロメット,#500-4-3.5 ﾛｰﾀｰ,
24150,Ｃ－３０－ＮＧ－７９－Ｂ－ＥＰ－ＵＬグロメット,支給 #500-3-2 ﾛｰﾀｰ,
24155,支給　Ｃ－３０－ＮＧ－７９－Ｇ　ＥＰ－ＵＬ,#500-2-1.5 ﾛｰﾀｰ,
50209,ＴＥＬダイ　シチュウボルト,#9500-5-0 ﾛｰﾀｰ W/2,
50210,ＴＥＬダイ　シチュウナット,支給 #TAK80KEY,
50296,ＬＥ－１５０－２４Ｖ　アクチュエーター,TAK70-4-0CH,
50329,ＬＥ－１５０－１２Ｖ　アクチュエーター,TAK70-4-2CH,
50332,支給　ＬＥ－８３０－ＲＣ　リモコン,TAK70-4-3.5CH,
50333,支給　ＬＥ－８３０－ＭＨ　メインハーネス,支給 ﾛｰﾀｰｺﾞﾑｷｬｯﾌﾟ,
50336,支給　ＬＥ－８３０－ＣＨ　セツゾクハーネス,支給TAK70MIMﾛｰﾀｰ W/2,
50359,ＬＥ－１５１Ｒ－Ｆ－１－１－２４Ｖ,支給 TAK50-4-0,
50381,支給　ＬＥ－８４０－ＲＣ　リモコン,支給 TAK50-4-2,
50382,支給　ＬＥ－８４０－ＡＵ　アンテナユニット,支給 TAK50-4-3.5,
60009,支給　ＦＡ－６０２　＃０３５０,#0200-5-0 片抜け,
60015,ＦＡ－６０３　カギツキ　ＲＯＨＳ,C-375M #5353560 W/0,
60025,支給　ＦＡ－６１６　カギツキ　ウケ新ＲＯＨＳ,C-375H #E012012 W/3,
60218,センコウキ　ホンタイ,支給 C-58 ｾﾝﾀｰﾗｯﾁのみ,
60219,センコウキ　アタマ,支給 C-58 上部ﾗｯﾁのみ,
60220,センコウキ　ヨコブタ,支給 C-286-2用止金,
60221,センコウキ　メダマ,支給 C-375H #E012012 W/3,
60222,パンチ　ホンタイ,#1001-4-0 片抜ﾛｰﾀｰ W/2,
60223,パンチ　アタマ,支給 #0200-4 SUSﾛｰﾀｰ,
60224,パンチ　メダマ,支給C-375-A TAK80用ﾛｰﾀｰｹｰｽ,
60225,パンチ　ヨコブタ,Tﾛｰﾀｰ #Y3001-9452 24種 W/2,
60750,支給　ＦＡ－８１６－１Ｂ　ＲＯＨＳ,支給 501H-4-0 ｼｬｯﾀｰなし,
60783,支給　ＦＡ－８１５Ｎ－１Ｃ　ＲＯＨＳ,FA-820-C-2L用 封印金具付ｶﾏ,
65136,ＦＥ－４６２－２－Ｂｌａｃｋ,支給 AC-25-Q-14L ｸﾛ,
70253,支給　ＴＡＫ８０－ＰＡ－１８０,支給 #200-4S M4ﾀｯﾌﾟ付,
70259,ＴＡＫ７０－４－３．５,支給 C-286-1用特注止め金,
70261,支給　ＴＡＫ７０００－４　チガイ　Ｗ／２,ﾒｲﾊﾞﾝ E3-2000,
70262,ＴＡＫ７＊＊＊－４－３．５　Ｗ／２　鍵指定,ｷｰﾕﾆｯﾄ 45°錠前組込,
70327,支給　ＦＣ－８０２－２用ヘッド,LE-150 追工ﾏｲｸﾛ付(816-1Bﾖｳ,
70338,ＴＡＫ７０００－４－０ＣＨ,支給 C-30-CS-4 EP-ULｱｲﾎﾞﾘｰ,
70339,ＴＡＫ７０００－４－３．５ＣＨ,支給 TAK40ﾛｯｸﾕﾆｯﾄ W/2,
70340,支給　ＴＡＫ７０００－４－２ＣＨ,ﾌﾟﾚｰﾄCMP-HA A-885-Y用金具,
70362,支給　＃２００－５－ＭＩＭ　ローター,支給 #9500-4-2 W/2,
70387,支給　＃９５００－ＭＩＭ　ローター,A-140-1-1 TAK80 ﾛ-ﾀ-ﾅｼ,
70392,＃２００－４Ｓ　ローター,M200 W/1 黒CP付 #FJ401-500,
70394,＃２００－５　片抜け　ローター,支給 #0200-5 MIMﾛｰﾀｰ W/2,
70397,＃Ｒ２００－４－３．５　ローター,#R200-2-1.5 ﾛｰﾀｰW/2,
70407,＃５００－４　ローター,Tﾛｰﾀｰ #TK020 W/0,
70408,シャッター付＃５００－４－２ローター,TAK80H-4-2B(TAK08A)W/0,
70409,＃５００－４－３．５　ローター,支給 TAK7000-4 W/0 MNR-P01,
70411,支給　＃５００－３－２　ローター,TAK7000-4-2 W/0 #MNR-P01,
70414,＃５００－２－１．５　ローター,C-178-T片抜け #SAN001 W/2,
70434,＃９５００－５－０　ローター　Ｗ／２,A-140-1-1 ｸﾘｱ TAK80ﾛｰﾀｰﾅｼ,
70448,支給　＃ＴＡＫ８０ＫＥＹ,A-140-2-1 ｸﾘｱ TAK80 ﾛｰﾀｰﾅｼ,
70461,ＴＡＫ７０－４－０ＣＨ,A-140-3-1 5Y7/1 TAK80 Rﾅｼ,
70462,ＴＡＫ７０－４－２ＣＨ,A-140-3-1ﾒｯｷｸﾘｱ TAK80 Rﾅｼ,
70463,ＴＡＫ７０－４－３．５ＣＨ,支給A-140-H2-1 5Y T8Rﾅｼ,
70482,支給　ローターゴムキャップ,支給 A-140-H-2-1TAK80 ROﾅｼ,
70630,支給　ＴＡＫ５０－４－０,支給A-140N-3-1ｼﾙﾊﾞｰT8Rﾅｼ,
70631,支給　ＴＡＫ５０－４－２,支給 A-140-W-1TAK80 ﾛｰﾀｰﾅｼ,
70632,支給　ＴＡＫ５０－４－３．５,支給 A-140-W-2 TAK80ﾛｰﾀｰﾅｼ,
71243,＃０２００－５－０　片抜け,A-230-1 TAK80ﾛ-ﾀ-ﾅｼ ROHS,
80211,ＦＡ　ツマミシャフト（Ｌ）,A-230-2 TAK80 ﾛ-ﾀ-ﾅｼ ROHS,
80212,ＦＡ　シメツケリング,支給A-375-2A-XT-L TAK80Rﾅｼ,
80213,ＯＬ　カンセツジク,支給A-375-2A-XT-R TAK80Rﾅｼ,
80214,ＯＬ　シメツケリング,支給A-375-2B-XT-L TAK80Rﾅｼ,
80215,キャンティートレー,支給A-375-2B-XT-R TAK80Rﾅｼ,
80217,カイテンシャフト,A-465-F-1 TAK80ﾛ-ﾀ-ﾅｼ ROHS,
80218,コイルストッパー,A-465-F-2 TAK80ﾛ-ﾀ-ﾅｼ ROHS,
90201,プッシュクランク,A-465-F-3TAK80 ﾛｰﾀｰﾅｼ,
111303,ブックスタンド　Ｍ６コマ,支給 A-481-F-6 TAK80ﾛｰﾀｰﾅｼ,
111305,ブックスタンド　Ｍ４コマ,支給 C-440-0 5YR2/1.5T8Rﾅｼ,
370043,カップリング,Tﾛｰﾀｰ #KU-100 W/2 (刻有),
384724,カイホウホルダー,#200-5-MIMﾛｰﾀｰ ｼｬｯﾀｰﾅｼ,
580861,マニーホールド　　　　　　　　　　　＊＊,LE-150N-24V-T-1(LE-810C4ﾖｳ,
580972,バルブボディ　（４０．５０．８０）,Tﾛｰﾀｰ W/2 鍵違い ﾛｰﾀｰ刻付,
581097,カバー,支給 #HAMA05 W/0 刻印有,
581100,ボディ,C-375-D 違い#****D W/3,
581101,バルブボディ,#TAK7716-4-0 W/0 刻無,
581105,ボディ　　　　　　　　　　　　　　＊＊,支給 C-375-A用 ｼﾞｮｲﾝﾄ ROHS,
705130,Ｍ６ネジプラグ／ワッシャー,支給 TAM70-4-0 W/0 刻印TAM,
705142,コネクターパイプ,C-375-D #SD0001 W/3,
705143,コネクターパイプ,C-375-D #RSE*** W/3,
705144,コネクターパイプ,支給 A-375 角棒 52mm用ROHS,
705145,コネクターパイプ,#500-2-4 ﾛｰﾀｰ W/2 ｶﾞｲﾄﾞﾅｼ,
709026,１４パイ　ワンガタ　プラグ,支給 A-547支給用Cﾘﾝｸﾞ,
710275,エアチャンバー　（２０）　ミゾナシ,C-375-SJ-ZDC(TR-41/C-490),
710276,エアチャンバー　（２５）　ミゾナシ,銘板ｼｰﾙ あき-使用中 青赤,
711105,カバーリヤー，ファイナルドライブ,銘板ｼｰﾙ 文字無 ｵﾚﾝｼﾞ水色,
711112,スペーサーファン,支給 Fﾛｰﾀｰﾁｶﾞｲ,
711116,スペーサーファン,TAK7000-4-0 #HIBIYA W/0,
711119,アウトレットＷ,TAK70M-4 置換 #KBC*** W/0,
711130,スペーサーファン,TAK70M-4-2 置換#KBC*** W/0,
711155,アウトレットｗ　　　　　　　　　　　　　＊＊,支給 LE-830-RC-MNﾏﾆｭｱﾙﾘﾓｺﾝ,
711170,スペーサーファン,TAK7000-4-0 #KBB-*** W/4,
711214,Ｈ・サーモスタット,TAK7000-4-0 W/0 #KBB-***,
711219,スペーサーファン,支給 C-40用ﾃﾞｯﾄﾞﾎﾞﾙﾄ,
711251,ＡＤーＡＣバルブ,支給 A-375用赤ﾃﾞｨｯﾌﾟｱｳﾀｰHA,
711255,パッセージＥＧＲ,FRT-E9-400G2(C-990ﾖｳ),
711269,サポートＤＩＳＴ,C-375-ESJ-ZDC-TR41,
711283,パッセージＥＧＲ　　　　　　　　　　＊＊,C-375-D #SD0002 W/3,
711288,ＲＥＴオイルシール,支給 TR-2 ﾛｽﾄﾜｯｸｽﾊﾌﾞ,
711412,スペ－サ－ファン,C-375鍵違い #10011G W/2,
711416,スペーサーファン,#200-5AG #400 W/2(89871),
711455,アウトレットＷ,#TAK7100-4-0 W/0 ﾛｰﾀｰ刻無,
711470,スペーサーファン,ﾘﾌﾄｱｯﾌﾟﾎﾞﾙﾄ,
711514,Ｈ・サ－モスタット,FA-603 #200 ﾊﾞﾈ径1.8組替,
711546,スペーサーファン,支給 FA-815N-1C F･Kﾅｼ,
711555,パッセージＥＧＲ,Tﾛｰﾀｰｼｮｰﾄ3S-4 #T**** W/2,
711569,サポートＤＩＳＴ,#TAK7428-4S-0 W/2 刻無,
711570,スペーサーファン,TAK700-3-2#TAKET** W2,
711583,パッセージＥＧＲ,#MFTG001-4S-3.5 W/0 刻無,
711588,ＲＥＴオイルシール,T7S #HAREZAB-4-0 W/0 刻無,
711686,アウトチャンバー　（２０）,C-375-D #SD00** W/6,
711687,アウトチャンバー　（２５）,C-375-D #SD00**,
711814,Ｈ・サーモスタット,C-375-V #V32017 W/3,
711851,ＡＤ－ＡＣバルブ,支給 A-388Nﾖｳﾌﾞﾋﾝ,
712104,Ｈ・サーモスタット,TAK70-4-3.5 #TAK7*** W/2,
712105,アウトレットＷ,TAK7000-4-0 #MNR-P02 W/0,
712106,Ｈ・サーモスタット,TAK7000-4S-0 #KFO W/0,
712123,アウトレットＷ,TAK7000-4S-0 #KFOJ W/0,
712124,ブラケット,TAK7000-4S-0 #CSJAFOJ W/0,
712126,Ｈ・サーモスタット　　　　　　　　　　　＊＊,TAK7000-4S-0 #CS AFO W/0,
712130,インシュレーターブラケット,A-458-R TAK80 ﾛ-ﾀ-ﾅｼ ROHS,
712144,Ｈ・サーモスタット　　　　　　　　　　　＊＊,A-458-L TAK80 ﾛ-ﾀ-ﾅｼ ROHS,
712149,クランクセンサーブラケット,#HAREZAA-4S-3.5 W/0 刻無,
712153,ブラケットアルタネーター　　　　　　　＊＊,支給 TR-41-SJ-L JRC向 IG付,
712154,ブラケットポンプ　　　　　　　　　＊＊,支給 #501H-4-2 ﾛｰﾀｰ W/2,
712168,ブラケットポンプ　　　　　　　　　＊＊,#9500-4S-3.5 W/2 刻･S付,
712233,Ｈ・サーモスタット,C836-1 部5点ﾅｼ#TAV**** W/2,
712241,Ｈ・サーモスタット,A-151R-1 ｱｲﾁｺｰﾎﾟﾚｰｼｮﾝ ﾗｯﾁ,
712243,Ｈ・サーモスタット,A-151R-1 ｱｲﾁﾑｹ ﾌﾟﾚｰﾄ,
